Sensor 1,Eixo X,Eixo Y,Posição
2343,-156,161,0
2320,-49,-96,1
1797,-45,-97,2
2304,-81,-18,3
1673,-76,-16,4
2373,-160,158,0
2301,-49,-110,1
1727,-43,-99,2
2292,-79,-12,3
1621,-84,-4,4
2353,-158,162,0
2317,-45,-111,1
1646,-31,-107,2
2299,-77,-14,3
1616,-76,-6,4
2375,-157,155,0
2289,-80,-117,1
1681,-33,-106,2
2341,-85,-12,3
1688,-84,-5,4
2333,-165,164,0
2313,-101,-125,1
1616,-59,-112,2
2339,-78,-10,3
1678,-78,-3,4
2377,-160,157,0
2293,-78,-112,1
1723,-45,-108,2
2315,-75,-14,3
1710,-80,-10,4
2363,-161,158,0
2342,-96,-114,1
1649,-69,-112,2
2288,-86,-16,3
1642,-81,-8,4
2368,-158,159,0
2333,-49,-108,1
1669,-45,-100,2
2254,-80,-18,3
1674,-79,-8,4
2403,-154,150,0
2359,-107,-124,1
1776,-100,-121,2
2241,-87,-16,3
1670,-80,-8,4
2386,-160,157,0
2352,-76,-115,1
1681,-54,-116,2
2306,-82,-8,3
1648,-80,-5,4
2379,-160,161,0
2317,-99,-115,1
1732,-83,-117,2
2279,-79,-12,3
1671,-81,-4,4
2351,-159,162,0
2298,-69,-116,1
1713,-36,-113,2
2302,-69,-20,3
1703,-72,-9,4
2326,-159,167,0
2321,-64,-117,1
1735,-80,-118,2
2157,-84,-25,3
1643,-81,-14,4
2397,-158,155,0
2345,-71,-108,1
1701,-48,-102,2
2311,-77,-14,3
1658,-78,-3,4
2405,-161,160,0
2295,-101,-122,1
1770,-54,-110,2
2278,-78,-15,3
1680,-76,-11,4
2352,-162,158,0
2320,-109,-124,1
1695,-83,-118,2
2396,-73,-13,3
1683,-77,-6,4
2336,-160,167,0
2299,-126,-132,1
1751,-91,-123,2
2285,-81,-13,3
1671,-78,-9,4
2384,-160,162,0
2336,-91,-115,1
1797,-74,-121,2
2357,-79,-15,3
1680,-76,-9,4
2375,-158,158,0
2304,-74,-111,1
1758,-46,-112,2
2309,-69,-18,3
1651,-68,-10,4
2416,-156,154,0
2333,-93,-115,1
1842,-71,-109,2
2352,-74,-14,3
1642,-75,-8,4
2384,-158,158,0
2340,-83,-110,1
1751,-58,-100,2
2363,-80,-15,3
1737,-65,-16,4
